Action ID,Package ID,Package Decription,Package Groups,Strategy ID,Strategy,ID,Asset Name,Interval,Interval Units,Recommended Resource,Shutdown Required,Reference Column,Job Plan ID,Action Name,Plan Description,MyPlant Document Number,Oracle Activity,
Pump-Plunger  Duraqual PF753-135L65-TICK_A09,Tickalara Satellite - Export - Shipping Pumps,Tickalara Satellite - Export - Shipping Pumps,3800 - Tickalara Satellite,KICK EXP 3800-P-001B,KICK,EXP,3800-P-001B,12,M,01,00,KICK EXP 12M-01-00,KICK EXP 12M-01-00-002,Overhaul Low Engine Oil Pressure Shutdown Switch,Tickalara Duraqual Shipping Pump PF753 Panel Inst/Elec Service,2218083.docx,2218083,002
Pump-Plunger  Duraqual PF753-135L65-TICK_A04,Tickalara Satellite - Export - Shipping Pumps,Tickalara Satellite - Export - Shipping Pumps,3800 - Tickalara Satellite,KICK EXP 3800-P-001B,KICK,EXP,3800-P-001B,6,M,04,00,KICK EXP 6M-04-00,KICK EXP 6M-04-00-001,Check pulsation damper pre-charge pressure,Tickalara Duraqual Shipping Pump PF753-135L65 30 Weekly Mechanical Service,2648683.DOCX,2648683,001
Pump-Plunger  Duraqual PF753-135L65-TICK_A06,Tickalara Satellite - Export - Shipping Pumps,Tickalara Satellite - Export - Shipping Pumps,3800 - Tickalara Satellite,KICK EXP 3800-P-001B,KICK,EXP,3800-P-001B,12,M,04,00,KICK EXP 12M-04-00,KICK EXP 12M-04-00-001,Check pump foundation bolts are tight,Tickalara Duraqual Shipping Pump PF753-135L65 60 Weekly Mechanical Service,2648707.docx,2648707,001
Pump-Plunger  Duraqual PF753-135L65-TICK_A08,Tickalara Satellite - Export - Shipping Pumps,Tickalara Satellite - Export - Shipping Pumps,3800 - Tickalara Satellite,KICK EXP 3800-P-001B,KICK,EXP,3800-P-001B,12,M,04,00,KICK EXP 12M-04-00,KICK EXP 12M-04-00-001,Visually check pump pony rod for scoring,Tickalara Duraqual Shipping Pump PF753-135L65 60 Weekly Mechanical Service,2648707.docx,2648707,001
Pump-Plunger  Duraqual PF753-135L65-TICK_A05,Tickalara Satellite - Export - Shipping Pumps,Tickalara Satellite - Export - Shipping Pumps,3800 - Tickalara Satellite,KICK EXP 3800-P-001B,KICK,EXP,3800-P-001B,6,M,04,00,KICK EXP 6M-04-00,KICK EXP 6M-04-00-001,Check belt tension with belt tensioning tool,Tickalara Duraqual Shipping Pump PF753-135L65 30 Weekly Mechanical Service,2648683.DOCX,2648683,001
Pump-Plunger  Duraqual PF753-135L65-TICK_A07,Tickalara Satellite - Export - Shipping Pumps,Tickalara Satellite - Export - Shipping Pumps,3800 - Tickalara Satellite,KICK EXP 3800-P-001B,KICK,EXP,3800-P-001B,12,M,04,00,KICK EXP 12M-04-00,KICK EXP 12M-04-00-001,"Replace pump drive belts and re-tension, Visually inspect condition of drive pulley grooves",Tickalara Duraqual Shipping Pump PF753-135L65 60 Weekly Mechanical Service,2648707.docx,2648707,001
Pump-Plunger  Duraqual PF753-135L65-TICK_A03,Tickalara Satellite - Export - Shipping Pumps,Tickalara Satellite - Export - Shipping Pumps,3800 - Tickalara Satellite,KICK EXP 3800-P-001B,KICK,EXP,3800-P-001B,6,M,04,00,KICK EXP 6M-04-00,KICK EXP 6M-04-00-001,Clean pump crankcase breather with a non-explosive solvent,Tickalara Duraqual Shipping Pump PF753-135L65 30 Weekly Mechanical Service,2648683.DOCX,2648683,001
Pump-Plunger  Duraqual PF753-135L65-TICK_A02,Tickalara Satellite - Export - Shipping Pumps,Tickalara Satellite - Export - Shipping Pumps,3800 - Tickalara Satellite,KICK EXP 3800-P-001B,KICK,EXP,3800-P-001B,6,M,04,00,KICK EXP 6M-04-00,KICK EXP 6M-04-00-001,Replace pump lube oil filter,Tickalara Duraqual Shipping Pump PF753-135L65 30 Weekly Mechanical Service,2648683.DOCX,2648683,001
Pump-Plunger  Duraqual PF753-135L65-TICK_A01,Tickalara Satellite - Export - Shipping Pumps,Tickalara Satellite - Export - Shipping Pumps,3800 - Tickalara Satellite,KICK EXP 3800-P-001B,KICK,EXP,3800-P-001B,6,M,04,00,KICK EXP 6M-04-00,KICK EXP 6M-04-00-001,Obtain oil sample from Plunger Pump,Tickalara Duraqual Shipping Pump PF753-135L65 30 Weekly Mechanical Service,2648683.DOCX,2648683,001
Pump-Plunger  Duraqual PF753-135L65-TICK_A06,Tickalara Satellite - Export - Shipping Pumps,Tickalara Satellite - Export - Shipping Pumps,3800 - Tickalara Satellite,KICK EXP 3800-P-001A,KICK,EXP,3800-P-001A,12,M,04,00,KICK EXP 12M-04-00,KICK EXP 12M-04-00-001,Check pump foundation bolts are tight,Tickalara Duraqual Shipping Pump PF753-135L65 60 Weekly Mechanical Service,2648707.docx,2648707,001
Pump-Plunger  Duraqual PF753-135L65-TICK_A02,Tickalara Satellite - Export - Shipping Pumps,Tickalara Satellite - Export - Shipping Pumps,3800 - Tickalara Satellite,KICK EXP 3800-P-001A,KICK,EXP,3800-P-001A,6,M,04,00,KICK EXP 6M-04-00,KICK EXP 6M-04-00-001,Replace pump lube oil filter,Tickalara Duraqual Shipping Pump PF753-135L65 30 Weekly Mechanical Service,2648683.DOCX,2648683,001
Pump-Plunger  Duraqual PF753-135L65-TICK_A01,Tickalara Satellite - Export - Shipping Pumps,Tickalara Satellite - Export - Shipping Pumps,3800 - Tickalara Satellite,KICK EXP 3800-P-001A,KICK,EXP,3800-P-001A,6,M,04,00,KICK EXP 6M-04-00,KICK EXP 6M-04-00-001,Obtain oil sample from Plunger Pump,Tickalara Duraqual Shipping Pump PF753-135L65 30 Weekly Mechanical Service,2648683.DOCX,2648683,001
Pump-Plunger  Duraqual PF753-135L65-TICK_A03,Tickalara Satellite - Export - Shipping Pumps,Tickalara Satellite - Export - Shipping Pumps,3800 - Tickalara Satellite,KICK EXP 3800-P-001A,KICK,EXP,3800-P-001A,6,M,04,00,KICK EXP 6M-04-00,KICK EXP 6M-04-00-001,Clean pump crankcase breather with a non-explosive solvent,Tickalara Duraqual Shipping Pump PF753-135L65 30 Weekly Mechanical Service,2648683.DOCX,2648683,001
Pump-Plunger  Duraqual PF753-135L65-TICK_A05,Tickalara Satellite - Export - Shipping Pumps,Tickalara Satellite - Export - Shipping Pumps,3800 - Tickalara Satellite,KICK EXP 3800-P-001A,KICK,EXP,3800-P-001A,6,M,04,00,KICK EXP 6M-04-00,KICK EXP 6M-04-00-001,Check belt tension with belt tensioning tool,Tickalara Duraqual Shipping Pump PF753-135L65 30 Weekly Mechanical Service,2648683.DOCX,2648683,001
Pump-Plunger  Duraqual PF753-135L65-TICK_A07,Tickalara Satellite - Export - Shipping Pumps,Tickalara Satellite - Export - Shipping Pumps,3800 - Tickalara Satellite,KICK EXP 3800-P-001A,KICK,EXP,3800-P-001A,12,M,04,00,KICK EXP 12M-04-00,KICK EXP 12M-04-00-001,"Replace pump drive belts and re-tension, Visually inspect condition of drive pulley grooves",Tickalara Duraqual Shipping Pump PF753-135L65 60 Weekly Mechanical Service,2648707.docx,2648707,001
Pump-Plunger  Duraqual PF753-135L65-TICK_A08,Tickalara Satellite - Export - Shipping Pumps,Tickalara Satellite - Export - Shipping Pumps,3800 - Tickalara Satellite,KICK EXP 3800-P-001A,KICK,EXP,3800-P-001A,12,M,04,00,KICK EXP 12M-04-00,KICK EXP 12M-04-00-001,Visually check pump pony rod for scoring,Tickalara Duraqual Shipping Pump PF753-135L65 60 Weekly Mechanical Service,2648707.docx,2648707,001
Pump-Plunger  Duraqual PF753-135L65-TICK_A04,Tickalara Satellite - Export - Shipping Pumps,Tickalara Satellite - Export - Shipping Pumps,3800 - Tickalara Satellite,KICK EXP 3800-P-001A,KICK,EXP,3800-P-001A,6,M,04,00,KICK EXP 6M-04-00,KICK EXP 6M-04-00-001,Check pulsation damper pre-charge pressure,Tickalara Duraqual Shipping Pump PF753-135L65 30 Weekly Mechanical Service,2648683.DOCX,2648683,001
Pump-Plunger  Duraqual PF753-135L65-TICK_A010,Tickalara Satellite - Export - Shipping Pumps,Tickalara Satellite - Export - Shipping Pumps,3800 - Tickalara Satellite,KICK EXP 3800-P-001A,KICK,EXP,3800-P-001A,12,M,01,00,KICK EXP 12M-01-00,KICK EXP 12M-01-00-002,Overhaul Low Pump Oil Pressure Shutdown Switch,Tickalara Duraqual Shipping Pump PF753 Panel Inst/Elec Service,2218083.docx,2218083,002
Pump-Plunger  Duraqual PF753-135L65-TICK_A09,Tickalara Satellite - Export - Shipping Pumps,Tickalara Satellite - Export - Shipping Pumps,3800 - Tickalara Satellite,KICK EXP 3800-P-001A,KICK,EXP,3800-P-001A,12,M,01,00,KICK EXP 12M-01-00,KICK EXP 12M-01-00-002,Overhaul Low Engine Oil Pressure Shutdown Switch,Tickalara Duraqual Shipping Pump PF753 Panel Inst/Elec Service,2218083.docx,2218083,002
Pump-Plunger  Duraqual PF753-135L65-TICK_A011,Tickalara Satellite - Export - Shipping Pumps,Tickalara Satellite - Export - Shipping Pumps,3800 - Tickalara Satellite,KICK EXP 3800-P-001A,KICK,EXP,3800-P-001A,12,M,01,00,KICK EXP 12M-01-00,KICK EXP 12M-01-00-001,Overhaul Low Engine Water Flow Shutdown Switch,Tickalara Duraqual Shipping Pump PF753 Panel Inst/Elec Service,2644909.docx,2644909,001
Pump-Plunger  Duraqual PF753-135L65-TICK_A013,Tickalara Satellite - Export - Shipping Pumps,Tickalara Satellite - Export - Shipping Pumps,3800 - Tickalara Satellite,KICK EXP 3800-P-001A,KICK,EXP,3800-P-001A,12,M,01,00,KICK EXP 12M-01-00,KICK EXP 12M-01-00-001,Overhaul High Engine Oil Temperature Shutdown Switch,Tickalara Duraqual Shipping Pump PF753 Panel Inst/Elec Service,2644909.docx,2644909,001
Compressor-Air Champion CSI 7.5-TICK_A013,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-0003,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-0003,3800 - Tickalara Satellite,KICK INST AIR 3800-K-0003,KICK,INST AIR,3800-K-0003,12,M,04,00,KICK INST AIR 12M-04-00,KICK INST AIR 12M-04-00-001,Check the condition of the inlet controller and service as required,Tickalara Champion CSI 7.5 Air Compressor Mechanical Service 1 Yearly,SERVICE-PM-CO.RE-900215-J-2007.docx,2879279,001
Compressor-Air Champion CSI 7.5-TICK_A06,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-0003,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-0003,3800 - Tickalara Satellite,KICK INST AIR 3800-K-0003,KICK,INST AIR,3800-K-0003,6,M,04,00,KICK INST AIR 6M-04-00,KICK INST AIR 6M-04-00-001,Check alignment of pulleys and adjust as required,Tickalara Champion CSI 7.5 Air Compressor Mechanical Service 6 Monthly,SERVICE-PM-CO.RE-900215-J-2006.docx,2879278,001
Compressor-Air Champion CSI 7.5-TICK_A05,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-0003,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-0003,3800 - Tickalara Satellite,KICK INST AIR 3800-K-0003,KICK,INST AIR,3800-K-0003,6,M,04,00,KICK INST AIR 6M-04-00,KICK INST AIR 6M-04-00-001,Check vee belt tension and adjust as necessary,Tickalara Champion CSI 7.5 Air Compressor Mechanical Service 6 Monthly,SERVICE-PM-CO.RE-900215-J-2006.docx,2879278,001
Compressor-Air Champion CSI 7.5-TICK_A04,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-0003,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-0003,3800 - Tickalara Satellite,KICK INST AIR 3800-K-0003,KICK,INST AIR,3800-K-0003,6,M,04,00,KICK INST AIR 6M-04-00,KICK INST AIR 6M-04-00-001,Check condition of vee belts and repalce if required,Tickalara Champion CSI 7.5 Air Compressor Mechanical Service 6 Monthly,SERVICE-PM-CO.RE-900215-J-2006.docx,2879278,001
Compressor-Air Champion CSI 7.5-TICK_A08,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-0003,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-0003,3800 - Tickalara Satellite,KICK INST AIR 3800-K-0003,KICK,INST AIR,3800-K-0003,6,M,04,00,KICK INST AIR 6M-04-00,KICK INST AIR 6M-04-00-001,Check all hold-down bolts and tighten as required,Tickalara Champion CSI 7.5 Air Compressor Mechanical Service 6 Monthly,SERVICE-PM-CO.RE-900215-J-2006.docx,2879278,001
Compressor-Air Champion CSI 7.5-TICK_A09,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-0003,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-0003,3800 - Tickalara Satellite,KICK INST AIR 3800-K-0003,KICK,INST AIR,3800-K-0003,6,M,04,00,KICK INST AIR 6M-04-00,KICK INST AIR 6M-04-00-001,Check all air lines and pipework for cracking or vibration damage,Tickalara Champion CSI 7.5 Air Compressor Mechanical Service 6 Monthly,SERVICE-PM-CO.RE-900215-J-2006.docx,2879278,001
