Action ID,Package ID,Package Decription,Package Groups,Strategy ID,Strategy,ID,Asset Name,Interval,Interval Units,Recommended Resource,Shutdown Required,Reference Column,Job Plan ID,Action Name,Plan Description,MyPlant Document Number,Oracle Activity,,
Earth Reel-TINTA_A01,Tintaburra Satellite - Export - Crude Oil Loadout Pump Package,Tintaburra Satellite - Export - Crude Oil Loadout Pump Package,1650 - Tintaburra Satellite,TINTA EXP 1650-P-002,TINTA,EXP,1650-P-002,6,M,01,00,TINTA EXP 6M-01-00,TINTA EXP 6M-01-00-001,"Inspect the overall condition of the Cable Reel to truck connector, earth reel stand, earth reel clamp, earth reel mounting bar / fixings and insulated cable, check for physical damage / deterioration in insulation",Tintaburra  Area Earth Reel Electrical Testing,TEST-PM-PU.CE-003606-J-2003.docx,2736627,001,
Earth Reel-TINTA_A02,Tintaburra Satellite - Export - Crude Oil Loadout Pump Package,Tintaburra Satellite - Export - Crude Oil Loadout Pump Package,1650 - Tintaburra Satellite,TINTA EXP 1650-P-002,TINTA,EXP,1650-P-002,6,M,01,00,TINTA EXP 6M-01-00,TINTA EXP 6M-01-00-001,"Visually inspect standoff insulators between the Earth Reel bar and the main stand, renew if U/V or physically damaged",Tintaburra  Area Earth Reel Electrical Testing,TEST-PM-PU.CE-003606-J-2003.docx,2736627,001,
Earth Reel-TINTA_A06,Tintaburra Satellite - Export - Crude Oil Loadout Pump Package,Tintaburra Satellite - Export - Crude Oil Loadout Pump Package,1650 - Tintaburra Satellite,TINTA EXP 1650-P-002,TINTA,EXP,1650-P-002,6,M,01,00,TINTA EXP 6M-01-00,TINTA EXP 6M-01-00-001,"Inspect the Earth Electrode and cable connection, perform Earth Electrode earth resistance test with ‘Fall of Potential’ Earth Electrode Tester (reference test procedure in WI Task 80)",Tintaburra  Area Earth Reel Electrical Testing,TEST-PM-PU.CE-003606-J-2003.docx,2736627,001,
Earth Reel-TINTA_A05,Tintaburra Satellite - Export - Crude Oil Loadout Pump Package,Tintaburra Satellite - Export - Crude Oil Loadout Pump Package,1650 - Tintaburra Satellite,TINTA EXP 1650-P-002,TINTA,EXP,1650-P-002,6,M,01,00,TINTA EXP 6M-01-00,TINTA EXP 6M-01-00-001,"Carry out Earth Continuity Test and verify that the resistance between the earth lead clamp and Earth Electrode (or connection to earth electrode) is less than 10 ohms, manually flex the cable to ensure weakened conductors are identified",Tintaburra  Area Earth Reel Electrical Testing,TEST-PM-PU.CE-003606-J-2003.docx,2736627,001,
Parent Asset - Maintenance covered by children_A03,Tintaburra Satellite - (Review Items),Tintaburra Satellite - (Review Items),1650 - Tintaburra Satellite,TINTA REV 1650-SAT-REV-VSCA-1,,,1650-SAT-REV-VSCA-1,,,,,,Parent Asset,Parent Asset,Parent Asset,Parent Asset,Parent Asset,,
Parent Asset - Maintenance covered by children_A03,Tintaburra Satellite - (Review Items),Tintaburra Satellite - (Review Items),1650 - Tintaburra Satellite,TINTA REV 1650-SAT-REV-VSCA-2,,,1650-SAT-REV-VSCA-2,,,,,,Parent Asset,Parent Asset,Parent Asset,Parent Asset,Parent Asset,,
Parent Asset - Maintenance covered by children_A03,Tintaburra Satellite - (Review Items),Tintaburra Satellite - (Review Items),1650 - Tintaburra Satellite,TINTA REV 1650-SAT-REV,,,1650-SAT-REV,,,,,,Parent Asset,Parent Asset,Parent Asset,Parent Asset,Parent Asset,,
Parent Asset - Maintenance covered by children_A03,Tintaburra Satellite - Alternator  - Diesel Engine,Tintaburra Satellite - Alternator  - Diesel Engine,1650 - Tintaburra Satellite,TINTA ALT 1650-SWBD-001,,,1650-SWBD-001,,,,,,Parent Asset,Parent Asset,Parent Asset,Parent Asset,Parent Asset,,
Managed by Parent Maintenance_A02,Tintaburra Satellite - Crude Fuel Storage - Control and Monitor,Tintaburra Satellite - Crude Fuel Storage - Control and Monitor,1650 - Tintaburra Satellite,TINTA CRUDE FUEL STRG 1658-SP58-003,,,1658-SP58-003,,,,,,Managed by Parent Maintenance,Managed by Parent Maintenance,Managed by Parent Maintenance,Managed by Parent Maintenance,Managed by Parent Maintenance,,
Managed by Parent Maintenance_A02,Tintaburra Satellite - Crude Fuel Storage - Control and Monitor,Tintaburra Satellite - Crude Fuel Storage - Control and Monitor,1650 - Tintaburra Satellite,TINTA CRUDE FUEL STRG 1650-TK-002-BND,,,1650-TK-002-BND,,,,,,Managed by Parent Maintenance,Managed by Parent Maintenance,Managed by Parent Maintenance,Managed by Parent Maintenance,Managed by Parent Maintenance,,
Managed by Integrity_A01,Tintaburra Satellite - Crude Fuel Storage - Control and Monitor,Tintaburra Satellite - Crude Fuel Storage - Control and Monitor,1650 - Tintaburra Satellite,TINTA CRUDE FUEL STRG 1650-TK-002,,,1650-TK-002,,,,,,Managed by Integrity,Managed by Integrity,Managed by Integrity,Managed by Integrity,Managed by Integrity,,
Managed by Integrity_A01,Tintaburra Satellite - Crude Fuel Storage - Control and Monitor,Tintaburra Satellite - Crude Fuel Storage - Control and Monitor,1650 - Tintaburra Satellite,TINTA CRUDE FUEL STRG 1650-PSV-1079,,,1650-PSV-1079,,,,,,Managed by Integrity,Managed by Integrity,Managed by Integrity,Managed by Integrity,Managed by Integrity,,
Managed by Parent Maintenance_A02,Tintaburra Satellite - Crude Fuel Storage - Control and Monitor,Tintaburra Satellite - Crude Fuel Storage - Control and Monitor,1650 - Tintaburra Satellite,TINTA CRUDE FUEL STRG 1650-SP36-001,,,1650-SP36-001,,,,,,Managed by Parent Maintenance,Managed by Parent Maintenance,Managed by Parent Maintenance,Managed by Parent Maintenance,Managed by Parent Maintenance,,
Managed by Parent Maintenance_A02,Tintaburra Satellite - Crude Oil Storage - Tanks,Tintaburra Satellite - Crude Oil Storage - Tanks,1650 - Tintaburra Satellite,TINTA CRUDE STRG 1650-TK-001B-CO,,,1650-TK-001B-CO,,,,,,Managed by Parent Maintenance,Managed by Parent Maintenance,Managed by Parent Maintenance,Managed by Parent Maintenance,Managed by Parent Maintenance,,
Managed by Integrity_A01,Tintaburra Satellite - Crude Oil Storage - Tanks,Tintaburra Satellite - Crude Oil Storage - Tanks,1650 - Tintaburra Satellite,TINTA CRUDE STRG 1650-PRV-001,,,1650-PRV-001,,,,,,Managed by Integrity,Managed by Integrity,Managed by Integrity,Managed by Integrity,Managed by Integrity,,
Parent Asset - Maintenance covered by children_A03,Tintaburra Satellite - Crude Oil Storage - Tanks,Tintaburra Satellite - Crude Oil Storage - Tanks,1650 - Tintaburra Satellite,TINTA CRUDE STRG 1650-SAT-STO-BND,,,1650-SAT-STO-BND,,,,,,Parent Asset,Parent Asset,Parent Asset,Parent Asset,Parent Asset,,
Managed by Parent Maintenance_A02,Tintaburra Satellite - Crude Oil Storage - Tanks,Tintaburra Satellite - Crude Oil Storage - Tanks,1650 - Tintaburra Satellite,TINTA CRUDE STRG 1650-LI-1062A,,,1650-LI-1062A,,,,,,Managed by Parent Maintenance,Managed by Parent Maintenance,Managed by Parent Maintenance,Managed by Parent Maintenance,Managed by Parent Maintenance,,
Managed by Integrity_A01,Tintaburra Satellite - Crude Oil Storage - Tanks,Tintaburra Satellite - Crude Oil Storage - Tanks,1650 - Tintaburra Satellite,TINTA CRUDE STRG 1650-PSV-0269,,,1650-PSV-0269,,,,,,Managed by Integrity,Managed by Integrity,Managed by Integrity,Managed by Integrity,Managed by Integrity,,
Managed by Integrity_A01,Tintaburra Satellite - Crude Oil Storage - Tanks,Tintaburra Satellite - Crude Oil Storage - Tanks,1650 - Tintaburra Satellite,TINTA CRUDE STRG 1650-TK-001A,,,1650-TK-001A,,,,,,Managed by Integrity,Managed by Integrity,Managed by Integrity,Managed by Integrity,Managed by Integrity,,
