Tickalara Satellite - Crude Oil Storage - Production Tanks,Managed by Integrity
Tickalara Satellite - Crude Oil Storage - Production Tanks,Maintenance covered by children
Tickalara Satellite - Crude Oil Storage - Tank Farm Bund,Maintenance covered by children
Tickalara Satellite - Export - Remote Telemetry Unit,Maintenance covered by children
Tickalara Satellite - Inlet Manifold - Control and Monitor,Managed by Integrity
Tickalara Satellite - Inlet Manifold - Control and Monitor,Maintenance covered by children
Tickalara Satellite - Produced Water Ponds - Interceptor Pond,Maintenance covered by children
Tickalara Satellite - Produced Water Ponds - Interceptor Pond,Run To Failure-PUMP
Tickalara Satellite - Produced Water Ponds - Pump-out Pond,Maintenance covered by children
Tickalara Satellite - Produced Water Ponds - Holding Pond,Maintenance covered by children
Tickalara Satellite - Produced Water Ponds - Interceptor Tanks Bund,Maintenance covered by children
Tickalara Satellite - Export - Discharge to JMOP Shutdown Valve,Run To Failure-VALVE
Tickalara Satellite - Export - Discharge to JMOP Shutdown Valve,Run To Failure-SWITCH-VIBRATION
Tickalara Satellite - Inlet Manifold - Shutdown Valve,Run To Failure-SWITCH-VIBRATION
Tickalara Satellite - Inlet Manifold - Shutdown Valve,Run To Failure-VALVE
Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-PIT-00342,Run To Failure-INSTRUMENT
Tickalara Satellite - Power Generation - Tank Diesel Fuel,Run To Failure-TANK
Tickalara Satellite - Trunkline - Control and Monitor,Run To Failure-CONTROLLER
Tickalara Satellite - Trunkline - Control and Monitor,Run To Failure-VALVE
